Gm#,Date,Season,Attendance
447,'29-Jun-21',2021,17382
448,'30-Jun-21',2021,16803
449,'1-Jul-21',2021,24944
450,'16-Jul-21',2021,34516
451,'17-Jul-21',2021,34304
452,'18-Jul-21',2021,34148
453,'19-Jul-21',2021,0
454,'19-Jul-21',2021,18272
455,'20-Jul-21',2021,17703
456,'21-Jul-21',2021,25600
457,'30-Jul-21',2021,36123
458,'31-Jul-21',2021,35866
459,'1-Aug-21',2021,34344
460,'3-Aug-21',2021,19369
461,'4-Aug-21',2021,22793
462,'5-Aug-21',2021,23589
463,'12-Aug-21',2021,7832
464,'14-Aug-21',2021,38477
465,'15-Aug-21',2021,37696
466,'16-Aug-21',2021,19410
467,'17-Aug-21',2021,21025
468,'18-Aug-21',2021,22780
469,'19-Aug-21',2021,23853
470,'27-Aug-21',2021,37892
471,'28-Aug-21',2021,38668
472,'29-Aug-21',2021,38565
473,'31-Aug-21',2021,19221
474,'1-Sep-21',2021,19231
475,'10-Sep-21',2021,34365
476,'11-Sep-21',2021,37854
477,'12-Sep-21',2021,36178
478,'14-Sep-21',2021,21848
479,'15-Sep-21',2021,26505
480,'16-Sep-21',2021,27098
481,'28-Sep-21',2021,25242
482,'29-Sep-21',2021,23018
483,'1-Oct-21',2021,30729
484,'2-Oct-21',2021,36320
485,'3-Oct-21',2021,30722
486,'1-Apr-21',2021,12264
487,'3-Apr-21',2021,12213
488,'4-Apr-21',2021,11629
489,'5-Apr-21',2021,9097
490,'6-Apr-21',2021,11093
491,'7-Apr-21',2021,11463
492,'16-Apr-21',2021,12497
493,'17-Apr-21',2021,12598
494,'18-Apr-21',2021,12551
495,'20-Apr-21',2021,8085
496,'21-Apr-21',2021,8025
497,'22-Apr-21',2021,7549
498,'30-Apr-21',2021,16090
499,'1-May-21',2021,17077
500,'2-May-21',2021,16755
501,'4-May-21',2021,10209
502,'5-May-21',2021,10247
503,'17-May-21',2021,11004
504,'18-May-21',2021,8745
505,'19-May-21',2021,10326
506,'20-May-21',2021,11656
507,'21-May-21',2021,17234
508,'22-May-21',2021,17611
509,'23-May-21',2021,16171
510,'31-May-21',2021,17878
511,'1-Jun-21',2021,10788
512,'8-Jun-21',2021,11897
513,'9-Jun-21',2021,11862
514,'10-Jun-21',2021,12423
515,'11-Jun-21',2021,20505
516,'12-Jun-21',2021,23765
517,'13-Jun-21',2021,18268
518,'24-Jun-21',2021,23941
519,'25-Jun-21',2021,30231
520,'26-Jun-21',2021,34671
521,'27-Jun-21',2021,21696
522,'28-Jun-21',2021,21006
523,'29-Jun-21',2021,16332
524,'30-Jun-21',2021,12084
525,'1-Jul-21',2021,16620
526,'2-Jul-21',2021,40854
527,'3-Jul-21',2021,36815
528,'4-Jul-21',2021,29340
529,'16-Jul-21',2021,34844
530,'17-Jul-21',2021,37204
531,'18-Jul-21',2021,29001
532,'19-Jul-21',2021,17080
533,'20-Jul-21',2021,19096
534,'21-Jul-21',2021,19896
535,'23-Jul-21',2021,30605
536,'24-Jul-21',2021,33489
537,'25-Jul-21',2021,21947
538,'3-Aug-21',2021,18396
539,'4-Aug-21',2021,16828
540,'5-Aug-21',2021,19393
541,'6-Aug-21',2021,27804
542,'7-Aug-21',2021,31297
543,'8-Aug-21',2021,23740
544,'16-Aug-21',2021,15404
545,'17-Aug-21',2021,13989
546,'18-Aug-21',2021,16922
547,'19-Aug-21',2021,11581
548,'20-Aug-21',2021,19106
549,'21-Aug-21',2021,34433
550,'22-Aug-21',2021,17797
551,'30-Aug-21',2021,10773
552,'1-Sep-21',2021,10365
553,'1-Sep-21',2021,10892
554,'3-Sep-21',2021,19430
555,'4-Sep-21',2021,26962
556,'5-Sep-21',2021,23083
557,'17-Sep-21',2021,28926
558,'18-Sep-21',2021,29861
559,'19-Sep-21',2021,26621
560,'20-Sep-21',2021,17086
561,'21-Sep-21',2021,9475
562,'23-Sep-21',2021,11836
563,'24-Sep-21',2021,16021
564,'25-Sep-21',2021,18293
565,'26-Sep-21',2021,21328
566,'27-Sep-21',2021,11055
567,'5-Apr-21',2021,8914
568,'7-Apr-21',2021,5908
569,'9-Apr-21',2021,7775
570,'10-Apr-21',2021,7570
571,'11-Apr-21',2021,6859
572,'20-Apr-21',2021,4176
573,'22-Apr-21',2021,6380
574,'23-Apr-21',2021,8662
575,'24-Apr-21',2021,8817
576,'25-Apr-21',2021,8766
577,'26-Apr-21',2021,4555
578,'27-Apr-21',2021,6303
579,'28-Apr-21',2021,5903
580,'7-May-21',2021,7803
581,'8-May-21',2021,9968
582,'11-May-21',2021,8024
583,'12-May-21',2021,8589
584,'21-May-21',2021,11675
585,'22-May-21',2021,11505
586,'23-May-21',2021,9805
587,'28-May-21',2021,9198
588,'30-May-21',2021,0
589,'30-May-21',2021,11690
590,'31-May-21',2021,0
591,'31-May-21',2021,10726
592,'1-Jun-21',2021,7132
593,'11-Jun-21',2021,22970
594,'12-Jun-21',2021,20116
595,'13-Jun-21',2021,17371
596,'14-Jun-21',2021,11181
597,'15-Jun-21',2021,12025
598,'16-Jun-21',2021,12825
599,'17-Jun-21',2021,15121
600,'28-Jun-21',2021,13128
601,'30-Jun-21',2021,0
602,'30-Jun-21',2021,11627
603,'1-Jul-21',2021,13772
604,'2-Jul-21',2021,24337
605,'3-Jul-21',2021,24961
606,'4-Jul-21',2021,17412
607,'8-Jul-21',2021,13272
608,'9-Jul-21',2021,21395
609,'10-Jul-21',2021,24077
610,'22-Jul-21',2021,19338
611,'23-Jul-21',2021,23180
612,'24-Jul-21',2021,23324
613,'25-Jul-21',2021,18614
614,'27-Jul-21',2021,19480
615,'28-Jul-21',2021,19927
616,'6-Aug-21',2021,24485
617,'7-Aug-21',2021,24560
618,'8-Aug-21',2021,19899
619,'9-Aug-21',2021,10708
620,'10-Aug-21',2021,13041
621,'11-Aug-21',2021,13560
