Gm#,Date,Tm,Opp,Attendance,,,,,,,,,,,,,,,,,
101,"Thursday, May 13",ATL,TOR,"21,653",,,,,,,,,,,,,,,,,
102,"Monday, May 17",ATL,NYM,"22,691",,,,,,,,,,,,,,,,,
103,"Tuesday, May 18",ATL,NYM,"21,667",,,,,,,,,,,,,,,,,
104,"Wednesday, May 19",ATL,NYM,"22,619",,,,,,,,,,,,,,,,,
105,"Thursday, May 20",ATL,PIT,"21,430",,,,,,,,,,,,,,,,,
106,"Friday, May 21",ATL,PIT,"37,545",,,,,,,,,,,,,,,,,
107,"Saturday, May 22",ATL,PIT,"40,068",,,,,,,,,,,,,,,,,
108,"Sunday, May 23",ATL,PIT,"39,874",,,,,,,,,,,,,,,,,
109,"Monday, May 31",ATL,WSN,"37,668",,,,,,,,,,,,,,,,,
110,"Tuesday, Jun 1",ATL,WSN,"24,083",,,,,,,,,,,,,,,,,
111,"Wednesday, Jun 2",ATL,WSN,"32,752",,,,,,,,,,,,,,,,,
112,"Thursday, Jun 3",ATL,WSN,"25,595",,,,,,,,,,,,,,,,,
113,"Friday, Jun 4",ATL,LAD,"40,514",,,,,,,,,,,,,,,,,
114,"Saturday, Jun 5",ATL,LAD,"41,136",,,,,,,,,,,,,,,,,
115,"Sunday, Jun 6",ATL,LAD,"39,439",,,,,,,,,,,,,,,,,
116,"Tuesday, Jun 15",ATL,BOS,"36,638",,,,,,,,,,,,,,,,,
117,"Wednesday, Jun 16",ATL,BOS,"39,847",,,,,,,,,,,,,,,,,
118,"Thursday, Jun 17",ATL,STL,"33,412",,,,,,,,,,,,,,,,,
119,"Friday, Jun 18",ATL,STL,"40,377",,,,,,,,,,,,,,,,,
120,"Sunday, Jun 20 (1)",ATL,STL,"33,781",,,,,,,,,,,,,,,,,
121,"Sunday, Jun 20 (2)",ATL,STL,"36,977",,,,,,,,,,,,,,,,,
122,"Tuesday, Jun 29",ATL,NYM,"29,274",,,,,,,,,,,,,,,,,
123,"Wednesday, Jun 30",ATL,NYM,"28,405",,,,,,,,,,,,,,,,,
124,"Thursday, Jul 1",ATL,NYM,"35,777",,,,,,,,,,,,,,,,,
125,"Friday, Jul 2",ATL,MIA,"38,203",,,,,,,,,,,,,,,,,
126,"Saturday, Jul 3",ATL,MIA,"38,526",,,,,,,,,,,,,,,,,
127,"Sunday, Jul 4",ATL,MIA,"34,485",,,,,,,,,,,,,,,,,
128,"Friday, Jul 16",ATL,TBR,"40,485",,,,,,,,,,,,,,,,,
129,"Saturday, Jul 17",ATL,TBR,"40,868",,,,,,,,,,,,,,,,,
130,"Sunday, Jul 18",ATL,TBR,"34,544",,,,,,,,,,,,,,,,,
131,"Tuesday, Jul 20",ATL,SDP,"36,621",,,,,,,,,,,,,,,,,
132,"Wednesday, Jul 21 (1)",ATL,SDP,"28,621",,,,,,,,,,,,,,,,,
133,"Wednesday, Jul 21 (2)",ATL,SDP,,,,,,,,,,,,,,,,,,
134,"Friday, Jul 30",ATL,MIL,"38,680",,,,,,,,,,,,,,,,,
135,"Saturday, Jul 31",ATL,MIL,"39,088",,,,,,,,,,,,,,,,,
136,"Sunday, Aug 1",ATL,MIL,"33,469",,,,,,,,,,,,,,,,,
137,"Friday, Aug 6",ATL,WSN,"34,454",,,,,,,,,,,,,,,,,
138,"Saturday, Aug 7",ATL,WSN,"38,300",,,,,,,,,,,,,,,,,
139,"Sunday, Aug 8",ATL,WSN,"29,101",,,,,,,,,,,,,,,,,
140,"Tuesday, Aug 10",ATL,CIN,"24,432",,,,,,,,,,,,,,,,,
141,"Wednesday, Aug 11",ATL,CIN,"23,375",,,,,,,,,,,,,,,,,
142,"Thursday, Aug 12",ATL,CIN,"23,395",,,,,,,,,,,,,,,,,
143,"Monday, Aug 23",ATL,NYY,"39,176",,,,,,,,,,,,,,,,,
144,"Tuesday, Aug 24",ATL,NYY,"37,426",,,,,,,,,,,,,,,,,
145,"Friday, Aug 27",ATL,SFG,"35,586",,,,,,,,,,,,,,,,,
146,"Saturday, Aug 28",ATL,SFG,"39,558",,,,,,,,,,,,,,,,,
147,"Sunday, Aug 29",ATL,SFG,"28,820",,,,,,,,,,,,,,,,,
148,"Tuesday, Sep 7",ATL,WSN,"20,544",,,,,,,,,,,,,,,,,
149,"Wednesday, Sep 8",ATL,WSN,"20,074",,,,,,,,,,,,,,,,,
150,"Thursday, Sep 9",ATL,WSN,"23,657",,,,,,,,,,,,,,,,,
151,"Friday, Sep 10",ATL,MIA,"33,850",,,,,,,,,,,,,,,,,
152,"Saturday, Sep 11",ATL,MIA,"35,250",,,,,,,,,,,,,,,,,
153,"Sunday, Sep 12",ATL,MIA,"27,847",,,,,,,,,,,,,,,,,
154,"Tuesday, Sep 14",ATL,COL,"22,579",,,,,,,,,,,,,,,,,
155,"Wednesday, Sep 15",ATL,COL,"21,382",,,,,,,,,,,,,,,,,
156,"Tuesday, Sep 28",ATL,PHI,"29,238",,,,,,,,,,,,,,,,,
157,"Wednesday, Sep 29",ATL,PHI,"27,664",,,,,,,,,,,,,,,,,
158,"Thursday, Sep 30",ATL,PHI,"38,235",,,,,,,,,,,,,,,,,
159,"Friday, Oct 1",ATL,NYM,"32,659",,,,,,,,,,,,,,,,,
160,"Saturday, Oct 2",ATL,NYM,"37,616",,,,,,,,,,,,,,,,,
161,"Sunday, Oct 3",ATL,NYM,"33,203",,,,,,,,,,,,,,,,,
162,"Thursday, Apr 8",BAL,BOS,"10,150",,,,,,,,,,,,,,,,,
163,"Saturday, Apr 10",BAL,BOS,"9,307",,,,,,,,,,,,,,,,,
164,"Sunday, Apr 11",BAL,BOS,"8,171",,,,,,,,,,,,,,,,,
